Type,Title,Blurb,Link,Image
Music,Basic Channel - Phylyps Trak II,"In January of 1995, I snuck out alone to St. Andrew’s Hall, where the militant thump of Phylyps Trak II drew me upstairs to the dark third floor. Club kids in overalls, drag queens in chartreuse wigs, a man in a three-piece suit—all lock-stepping in a grid, heads bowed before the bassbin like an altar, which I soon l discovered it was.",/winter-lullaby,phylyps.webp
Movies,Michael Clayton,A fine-grained collision between existential anxiety and end-game capitalism—and a masterclass in dialogue. The first three minutes might be my favorite opening scene in cinema: cosmic horror soundtracks the ultramundane.,https://www.jamesreeves.co/absorb-the-poison/,
TV,Fall of Civilizations,"I fall asleep to an episode every night at 75% speed. It’s absolutely worth $3 per month to support Paul’s brilliant work and nix the YouTube fuckery. Start with Carthage, but be forewarned: it’s a heartbreak.",https://www.youtube.com/watch?v=6dbdVhVSat8&list=PLR7yrLMHm11X6-M_usCj5H-gdstyWNLXQ&index=21,
Objects,Leuchtturm1917 paperback B6+ dotted notebook,123 pages. Black. Seeing the Brian Eno documentary in which he uses his notebook in landscape mode was life-changing for me. That’s why he’s a genius and I’m not.,https://www.leuchtturm1917.us/notebook-paperback-b6-dotted-softcover-123-numbered-pages-black.html?ref=jamesreeves.co,
Art,Candy Chang,Number one inspiration station.,https://candychang.com,cbod.webp
Music,Midwife,"Madeline Johnston’s voice sounds like it’s fighting its way through the static on a radio in the kitchen of a different decade. This is beautiful vapor, the afterimage of a flashbulb popping off after the encore of a band that littered the stage with only the finest reverb pedals.",https://heavenmetal.bandcamp.com/?ref=jamesreeves.co,
Books,Kōbō Abe - The Woman in the Dunes,"This story has seeped into my dreams, grinding at my thoughts like sand in the teeth.",https://www.jamesreeves.co/the-woman-in-the-dunes/,
Food,Coco Cuisine,Hands down the best dim sum in the Middle West and maybe anywhere—and a beloved weekly ritual with my in-laws.,https://cococuisineohio.com/,
Objects,Zebra Sarasa 0.4 mm Gel Pen,Keep it simple: black ink/black body.,https://www.jetpens.com/Zebra-Sarasa-R-Gel-Pen-0.4-mm-Black-Ink-Black-Body/pd/31080,
Art,"Jusepe de Ribera, <em>Penitent Saint Peter</em> (1632)",,https://www.artic.edu/artworks/120172/penitent-saint-peter,ribera.webp
Music,Datacide - Flowerhead,Atom Heart & Tetsu Inoue’s drowsy low-end opus that comforted me thirty years ago and still soothes me today.,https://atomtm.bandcamp.com/album/flowerhead?ref=jamesreeves.co,
Music,Bohren & Der Club of Gore - Midnight Radio,"A slow-motion masterpiece from 1995, and the namesake of my newsletter.",https://www.youtube.com/watch?v=pkw2kcQ5Lzs,
Food,Chili oil,Just the oil. No need for the flakes.,https://www.laoganmausa.com/,
Music,Rod Modell & Taka Noda - Glow World,Like mainlining every David Lynch film at half speed.,https://silentes.bandcamp.com/album/glow-world,
Food,Topo Chico,Fact: the Topo Chico that comes in clear glass bottles tastes better than the green-tinted bottles.,,
Art,"Caravaggio, <em>Saint Jerome in His Study</em> (1606)","John Berger has said Caravaggio’s darkness “smells of candles, over-ripe melons, damp washing to be hung out the next day.” To me, it feels like the purple-black thoughts that burble within the midnight brain. And in this darkness, Jerome no longer belongs to history or dogma but to the silence he sought in the desert.",https://en.wikipedia.org/wiki/Saint_Jerome_Writing,caravaggio.jpg
Food,Kimchi fried rice at Ming Ga,,http://www.mingakorean.com,
Music,Temple ov Saturn,"Joan Pope’s music is hypnotic, even compulsive, and sounds like an incantation that threatens to summon something ominous, which might help us prepare for the days ahead.",https://templeovsaturn.bandcamp.com,
Objects,My Spiritualized T-shirt,"It's so soft. And I already have ""Ladies and gentlemen, we are floating in space"" tattooed on my arm.",,spirittee.jpg
Music,M83 - Don't Save Us From the Flames,My all-time favorite lyrics: A piece of brain in my hair. The wheels are melting. A ghost is screaming your name.,https://www.jamesreeves.co/ghosts-and-gods/,
Music,Variant - Foil,Basic Channel is the godhead but this 45-minute track is the perfect form.,https://variantsonics.bandcamp.com/track/dreaming-thru-vector-part-one-foil,
Art,"Lee Ufan, <em>Relatum-Silence</em> (2010)","At Naoshima, I was unexpectedly moved by a hunched boulder that appeared to pray before a glossy sheet of metal.",https://benesse-artsite.jp/en/art/lee-ufan.html,ufan.jpg
